team_id,team,position,jersey,name,nationality,fact,attributes
5,Halifax Tides FC,Midfielder,9,Gunnhildur Yrsattir,Iceland,Midfielder signed in 2025 from Stjarnan,Shooting | Passing | Dribbling
5,Halifax Tides FC,Midfielder,11,Saorla Miller,Ireland,Signed in 2025 from Keflavak,Ball control | Crossing | Passing
5,Halifax Tides FC,Midfielder,14,Sarah Taylor,Canada,Signed for 2025 season,Dribbling | Passing | Tackling & Interceptions
5,Halifax Tides FC,Midfielder,15,Daphnée Blouin,Canada,Signed for 2025 season from Laval Rouge et Or,Dribbling | Ball control | Shooting
5,Halifax Tides FC,Midfielder,21,Anne-Valerie Seto,Canada,Signed for 2025 season from Memphis Tigers,Crossing | Passing | Dribbling
5,Halifax Tides FC,Midfielder,22,Milly Clegg,New Zealand,Signed for 2025 season from Racing Louisville,Shooting | Passing | Ball control
5,Halifax Tides FC,Midfielder,23,Gianna Creighton,USA,Signed for 2025 from UC Irvine Anteaters,Crossing | Passing | Shooting
5,Halifax Tides FC,Midfielder,32,Sydney Kennedy,Canada,Signed for 2025 season from Acadia Axewomen,Shooting | Ball control | Dribbling
5,Halifax Tides FC,Defender,2,Mya Harnish,Canada,Signed for 2025 season from Acadia Axewomen,Clearances | Tackling | Interception
5,Halifax Tides FC,Defender,5,Annika Leslie,Canada,Signed for 2025 season from West Virginia Mountaineers,Interception | Marking | Tackling
5,Halifax Tides FC,Defender,5,Sara Olai,Canada,Signed for 2025 season from IF Brommapojkarna,Marking | Interception | Positioning
5,Halifax Tides FC,Defender,8,Karima Lemire,Canada,Signed for 2025 season from Clube de Albergaria,Marking | Positioning | Tackling
5,Halifax Tides FC,Defender,13,Kiley Norkus,Canada,Signed for 2025 season from Amed S.F.K.,Tackling | Communication | Clearances
5,Halifax Tides FC,Defender,16,Addison Weichers,Canada,Signed for 2025 season from Utah State Aggies,Clearances | Communication | Interception
5,Halifax Tides FC,Defender,28,Anna Frémaux,Canada,Signed for 2025 season from Nantes,Positioning | Marking | Tackling
5,Halifax Tides FC,Goalkeeper,1,Erin McLeod,Canada,"Olympicâ€‘medalist, first signing ahead of 2025 season; former CanWNT starter",Shot-Stopping | Commanding the Box | Resilience
5,Halifax Tides FC,Goalkeeper,12,Anika Tarth,Canada,Signed for 2025 season from Woodbridge Strikers,Handling | Decision-Making | Resilience
5,Halifax Tides FC,Goalkeeper,18,Sophie Guilmette,Canada,Signed for 2025 season from McGill Martlets,Resilience | Distrbution | Commanding the Box
6,Ottawa Rapid FC,Forward,7,Johanne Fridlund,Norway,Former Kolbotn and Lazio player; Norway youth international,Shooting Power | Movement Off the Ball | Ball Control
6,Ottawa Rapid FC,Forward,9,Jazmine Wilkinson,Canada,Canada forward who scored 2 goals in 2 appearances in 2025 season,Movement Off the Ball | Ball Control | Shooting Power
6,Ottawa Rapid FC,Forward,13,Ngozi Sonia Okobia Okeoghene,Nigeria,Senior Nigeria international; former Levante Las Planas forward,Finishing | Stamina | Dribbling
6,Ottawa Rapid FC,Forward,21,Melanie Forbes,Canada,Canada forward; 4 goals in 11 appearances in 2025,Stamina | Ball Control | Shooting Power
6,Ottawa Rapid FC,Forward,22,Delaney Baie Pridham,Canada,Canada forward; key contributor with 16 goals in 2025 season,Ball Control | Dribbling | Stamina
6,Ottawa Rapid FC,Forward,98,Stella Downing,Canada,Canada forward; strong scoring presence in 2025,Finishing | Ball Control | Shooting Power
6,Ottawa Rapid FC,Forward,10,Florence Belzile,Canada,Canada forward; 7 goals in 9 appearances in 2025,Dribbling | Ball Control | Finishing
6,Ottawa Rapid FC,Midfielder,4,Miranda Smith,Canada,Midfielder who contributed goals early in 2025 season,Dribbling | Ball control | Crossing
6,Ottawa Rapid FC,Midfielder,5,Emily Amano,Canada,Midfielder (Canada) featured in 2025 squad,Ball control | Tackling & Interceptions | Crossing
6,Ottawa Rapid FC,Midfielder,6,Julia Benati,Canada,Canada midfielder; 10 goals in 12 appearances in 2025,Passing | Ball control | Dribbling
6,Ottawa Rapid FC,Midfielder,8,Ellen Gibson,Swedish,Swedish midfielder with goal and assist contributions in 2025,Tackling & Interceptions | Passing | Shooting
6,Ottawa Rapid FC,Midfielder,11,Desiree Scott,Canada,"Veteran Canada international, came out of retirement to join Rapid",Crossing | Tackling & Interceptions | Ball control
6,Ottawa Rapid FC,Midfielder,14,Mina Lee,South Korea,South Korea international midfielder in 2025 squad,Ball control | Tackling & Interceptions | Crossing
6,Ottawa Rapid FC,Defender,3,Kayla Adamek,Polan,Poland international defender midfielder hybrid,Clearances | Interception | Marking
6,Ottawa Rapid FC,Defender,2,Susanne Haaland,Norway,Norway defender regular starter in 2025,Positioning | Marking | Interception
6,Ottawa Rapid FC,Defender,33,Jyllissa Harris,USA,USA defender featured in 2025 lineup,Communication | Marking | Interception
6,Ottawa Rapid FC,Defender,19,Choo Hyojoo,South Korea,South Korea international defender in 2025 team,Interception | Positioning | Communication
6,Ottawa Rapid FC,Defender,18,Olivia Scott,Canada,Canada U15 & U17 international; co-captain of Ottawa Rapid,Interception | Positioning | Marking
6,Ottawa Rapid FC,Defender,15,Nicola Golen,Canada,Canada defender contributing in 2025 season,Positioning | Communication | Interception
6,Ottawa Rapid FC,Goalkeeper,30,Melissa Dagenais,Canada,Former Miami Hurricanes standout; joined Rapid as goalkeeper in 2025,Commanding the Box | Distrbution | Decision-Making
6,Ottawa Rapid FC,Goalkeeper,1,Mollie Eriksson,Canada,Signed in 2025; former League1 Ontario standout and called up to Canada national team,Shot-Stopping | Distrbution | Decision-Making
